"country","sftgcode","forecast.year","mean.p","rf.p","threat.p","harff.p","year","imr.normed.ln","mev.regac.ln","postcw","cou.tries5d","pol.cat.fl2","pol.cat.fl3","pol.cat.fl7","pol.durable.ln","gdppcgrow.sr","mev.civtot.ln","ios.iccpr1","wdi.popsize.ln","coup.p","cwar.p","reg.eap","reg.eur","reg.mna","reg.sca","reg.amr","pol.cat.pitf2","pol.cat.pitf3","pol.cat.pitf4","pol.cat.pitf5","pol.cat.pitf6","dis.l4pop.ln","pitf.p","mkl.ever","pit.sftpuhvl2.10.ln","pol.autoc","elc.eliti","elc.elethc","wdi.trade.ln","reg.afr","mkl.ongoing","countryage.ln","pol.cat.fl1","elf.ethnicc1","elf.ethnicc2","elf.ethnicc3","elf.ethnicc9","elc.eleth1","elc.eleth2","date"
"Nepal","NEP",2015,0.00920394072509555,0.002,0.00570108830580024,0.0199107338694864,2014,0.72327750401523,3.09104245335832,1,0,0,1,0,2.19722457733622,2.34007040465379,0,1,10.2326998206745,0.0198208180340239,0.0182055413308893,0,0,0,1,0,0,1,0,0,0,0,0.0896452534216856,1,2.19722457733622,0,0,0,3.87563608374622,0,0,5.50938833662798,0,0,0,1,0,0,0,2015-05-27
"Russia","RUS",2015,0.00885476549907031,0.011,0.00487844746971816,0.0106858490274928,2014,-1.01902067192079,2.07944154167984,1,0,1,0,0,2.70805020110221,0.788635988338361,0.693147180559945,1,11.8740893455402,0.00988553352626499,0.0248697121409635,0,1,0,0,0,0,0,1,0,0,0.470003629245736,0.0149951184192089,1,2.83321334405622,0,0,1,3.92904596345959,0,0,3.17805383034795,0,1,0,0,0,1,0,2015-05-27
"Gambia","GAM",2015,0.00878138103712289,0.002,0.0197839068400121,0.00456023627135661,2014,1.20941298857282,2.70805020110221,1,1,1,0,0,2.89037175789616,-0.467157127676342,0,1,7.52255435688073,0.113713039442298,0.0215784310486567,0,0,0,0,0,0,0,0,0,0,0,0.0233100492502292,0,0,1,0,0,4.47507850782552,1,0,3.91202300542815,0,0,0,1,0,0,0,2015-05-27
"Cambodia","CAM",2015,0.00871241624245317,0,0.0155865556025164,0.0105506931248431,2014,0.962565079706093,2.30258509299405,1,0,1,0,0,2.83321334405622,2.63931591423024,0,0,9.62477638756461,0.0405809943439326,0.0338490443027375,1,0,0,0,0,1,0,0,0,0,1.38629436111989,0.102525584793206,1,0,0,0,0,4.93817787106728,0,0,4.12713438504509,0,1,0,0,0,0,0,2015-05-27
"Congo-Brazzaville","CON",2015,0.00868410015525979,0.005,0.0103364631596937,0.0107158373060856,2014,1.10698903518892,2.07944154167984,1,0,1,0,0,2.89037175789616,2.45374778427146,0,1,8.40012709869484,0.0382299687868815,0.0223095134219214,0,0,0,0,0,0,0,0,0,0,3.09104245335832,0.0466172611549002,1,0,1,0,1,4.96007459301296,1,0,4.00733318523247,0,0,0,1,0,1,0,2015-05-27
"Venezuela","VEN",2015,0.00862808246470555,0.008,0.00920571933595396,0.00867852805816269,2014,-0.0146362864811367,1.6094379124341,1,0,1,0,0,0.693147180559945,-1.99985537928772,0,1,10.3223691556218,0.0357865436763609,0.0205342747289947,0,0,0,0,1,0,1,0,0,0,0,0.0367461585936686,0,0,0,0,0,3.92006199061615,0,0,5.22035582507832,0,0,1,0,0,0,0,2015-05-27
"Bhutan","BHU",2015,0.00824076087316338,0.001,0.00610336260128168,0.0176189200182085,2014,0.658392645369653,3.09104245335832,1,0,1,0,0,1.94591014905531,2.5207800178079,0,0,6.62532207376019,0.0336668546511254,0.0135758704810272,0,0,0,1,0,1,0,0,0,0,3.58351893845611,0.0800120408652914,0,0,0,0,1,4.64169623906331,0,0,4.86753445045558,0,0,1,0,0,0,1,2015-05-27
"Togo","TOG",2015,0.00787394896316013,0.002,0.0104910599242448,0.0111307869652356,2014,0.868091777034042,2.70805020110221,1,0,1,0,0,3.09104245335832,2.28035117853315,0,1,8.82717213090162,0.027936127791701,0.0282204680964312,0,0,0,0,0,1,0,0,0,0,0,0.0391940461036323,0,0,1,0,1,4.56189490709655,1,0,4.00733318523247,0,0,0,1,0,0,1,2015-05-27
"North Korea","PRK",2015,0.00774816957676683,0.01,0.00562504382042403,0.00761946490987648,2014,0.222378537886043,2.30258509299405,1,0,0,0,0,4.20469261939097,1.04880884817015,0,0,10.1224415398705,0.0144365167390675,0.0223679027086246,1,0,0,0,0,0,0,0,0,0,0,0.0195050630762852,1,0,1,1,0,3.09104245335832,0,1,4.20469261939097,1,1,0,0,0,0,0,2015-05-27
"Jordan","JOR",2015,0.00762917515434677,0.001,0.00469291752914223,0.0171946079338981,2014,-0.220724862576485,3.17805383034795,1,0,1,0,0,3.25809653802148,1.76014846821721,0,0,8.77338459677665,0.0141902226457036,0.0185215524887176,0,0,1,0,0,1,0,0,0,0,4.02535169073515,0.0776795083337981,1,0,1,0,1,4.73430053098487,0,0,4.23410650459726,0,0,1,0,0,0,1,2015-05-27
