"sftgcode","year","cmm.succ","cmm.fail","cmm.plot","cmm.rumr"
"GAM",1966,0,0,0,0
"GAM",1967,0,0,0,0
"GAM",1968,0,0,0,0
"GAM",1969,0,0,0,0
"GAM",1970,0,0,0,0
"GAM",1971,0,0,0,0
"GAM",1972,0,0,0,0
"GAM",1973,0,0,0,0
"GAM",1974,0,0,0,0
"GAM",1975,0,0,0,0
"GAM",1976,0,0,0,0
"GAM",1977,0,0,0,0
"GAM",1978,0,0,0,0
"GAM",1979,0,0,0,0
"GAM",1980,0,0,0,0
"GAM",1981,0,1,0,0
"GAM",1982,0,0,0,0
"GAM",1983,0,0,0,0
"GAM",1984,0,0,0,0
"GAM",1985,0,0,0,0
"GAM",1986,0,0,0,0
"GAM",1987,0,0,0,0
"GAM",1988,0,0,0,0
"GAM",1989,0,0,0,0
"GAM",1990,0,0,0,0
"GAM",1991,0,0,0,0
"GAM",1992,0,0,0,0
"GAM",1993,0,0,0,0
"GAM",1994,1,1,0,0
"GAM",1995,0,1,0,0
"GAM",1996,0,0,0,0
"GAM",1997,0,0,0,0
"GAM",1998,0,0,0,0
"GAM",1999,0,0,0,0
"GAM",2000,0,0,0,0
"GAM",2001,0,0,0,0
"GAM",2002,0,0,0,0
"GAM",2003,0,0,0,0
"GAM",2004,0,0,0,0
"GAM",2005,0,0,0,0
"GAM",2006,0,0,1,0
"GAM",2007,0,0,0,0
"GAM",2008,0,0,0,0
"GAM",2009,0,0,1,0
"GAM",2010,0,0,1,0
"GAM",2011,0,0,0,0
"GAM",2012,0,0,0,0
"GAM",2013,0,0,0,0
"GDR",1946,0,0,0,0
"GDR",1947,0,0,0,0
"GDR",1948,0,0,0,0
"GDR",1949,0,0,0,0
"GDR",1950,0,0,0,0
"GDR",1951,0,0,0,0
"GDR",1952,0,0,0,0
"GDR",1953,0,0,0,0
"GDR",1954,0,0,0,0
"GDR",1955,0,0,0,0
"GDR",1956,0,0,0,0
"GDR",1957,0,0,0,0
"GDR",1958,0,0,0,0
"GDR",1959,0,0,0,0
"GDR",1960,0,0,0,0
"GDR",1961,0,0,0,0
"GDR",1962,0,0,0,0
"GDR",1963,0,0,0,0
"GDR",1964,0,0,0,0
"GDR",1965,0,0,0,0
"GDR",1966,0,0,0,0
"GDR",1967,0,0,0,0
"GDR",1968,0,0,0,0
"GDR",1969,0,0,0,0
"GDR",1970,0,0,0,0
"GDR",1971,0,0,0,0
"GDR",1972,0,0,0,0
"GDR",1973,0,0,0,0
"GDR",1974,0,0,0,0
"GDR",1975,0,0,0,0
"GDR",1976,0,0,0,0
"GDR",1977,0,0,0,0
"GDR",1978,0,0,0,0
"GDR",1979,0,0,0,0
"GDR",1980,0,0,0,0
"GDR",1981,0,0,0,0
"GDR",1982,0,0,0,0
"GDR",1983,0,0,0,0
"GDR",1984,0,0,0,0
"GDR",1985,0,0,0,0
"GDR",1986,0,0,0,0
"GDR",1987,0,0,0,0
"GDR",1988,0,0,0,0
"GDR",1989,0,0,0,0
"GER",1990,0,0,0,0
"GER",1991,0,0,0,0
"GER",1992,0,0,0,0
"GER",1993,0,0,0,0
"GER",1994,0,0,0,0
"GER",1995,0,0,0,0
"GER",1996,0,0,0,0
"GER",1997,0,0,0,0
"GER",1998,0,0,0,0
"GER",1999,0,0,0,0
"GER",2000,0,0,0,0
"GER",2001,0,0,0,0
"GER",2002,0,0,0,0
"GER",2003,0,0,0,0
"GER",2004,0,0,0,0
"GER",2005,0,0,0,0
"GER",2006,0,0,0,0
"GER",2007,0,0,0,0
"GER",2008,0,0,0,0
"GER",2009,0,0,0,0
"GER",2010,0,0,0,0
"GER",2011,0,0,0,0
"GER",2012,0,0,0,0
"GER",2013,0,0,0,0
"GFR",1946,0,0,0,0
"GFR",1947,0,0,0,0
"GFR",1948,0,0,0,0
"GFR",1949,0,0,0,0
"GFR",1950,0,0,0,0
"GFR",1951,0,0,0,0
"GFR",1952,0,0,0,0
"GFR",1953,0,0,0,0
"GFR",1954,0,0,0,0
"GFR",1955,0,0,0,0
"GFR",1956,0,0,0,0
"GFR",1957,0,0,0,0
"GFR",1958,0,0,0,0
"GFR",1959,0,0,0,0
"GFR",1960,0,0,0,0
"GFR",1961,0,0,0,0
"GFR",1962,0,0,0,0
"GFR",1963,0,0,0,0
"GFR",1964,0,0,0,0
"GFR",1965,0,0,0,0
"GFR",1966,0,0,0,0
"GFR",1967,0,0,0,0
"GFR",1968,0,0,0,0
"GFR",1969,0,0,0,0
"GFR",1970,0,0,0,0
"GFR",1971,0,0,0,0
"GFR",1972,0,0,0,0
"GFR",1973,0,0,0,0
"GFR",1974,0,0,0,0
"GFR",1975,0,0,0,0
"GFR",1976,0,0,0,0
"GFR",1977,0,0,0,0
