"sftgcode","year","wdi.trade","wdi.gdppcppp","wdi.gdppc","wdi.gdppcgrow","wdi.inflation","wdi.cpi","wdi.popsize","wdi.popurb","wdi.popgrow","wdi.popdens","wdi.pop014","wdi.miltot","wdi.milpct","wdi.forest","wdi.minerals","wdi.energy","wdi.mobiles","wdi.netusers","wdi.imrate"
"BAR",1963,115.935828877005,NA,5395.57752287423,-5.07842107458586,NA,NA,233520,36.995,0.431728827753851,543.06976744186,39.0077934265137,NA,NA,NA,NA,NA,NA,NA,57.5
"BAR",1964,112.48654467169,NA,5642.47161571247,5.00487574733846,NA,NA,234478,37.068,0.409404030828929,545.297674418605,39.0829849243164,NA,NA,NA,NA,NA,NA,NA,54.4
"BAR",1965,126.907426246185,NA,6265.87373125276,11.4348434975811,NA,NA,235294,37.141,0.347402919153801,547.195348837209,39.0587959289551,NA,NA,NA,NA,NA,0,NA,51.6
"BAR",1966,136.762623879188,NA,6498.9874233473,4.00337126000842,NA,6.13836209026134,235936,37.214,0.272478576155343,548.688372093023,38.9495468139648,NA,NA,NA,NA,NA,NA,NA,49.2
"BAR",1967,130.255979857323,NA,7174.11284809544,10.6361361426256,3.63487515335758,6.36148388870337,236466,37.287,0.224385257629558,549.920930232558,38.7442588806152,NA,NA,NA,NA,NA,NA,NA,47.1
"BAR",1968,138.201019664967,NA,7653.50566876312,6.92182131752112,7.48874318687618,6.83787908000287,236997,37.36,0.224304844363146,551.155813953488,38.3996429443359,NA,NA,NA,NA,NA,NA,NA,45.1
"BAR",1969,139.540155440415,NA,8205.28046539968,7.51840479433301,5.8352318660549,7.2368851790415,237680,37.433,0.287774832718525,552.744186046512,37.8567810058594,NA,NA,NA,NA,NA,NA,NA,43.1
"BAR",1970,138.126721763085,NA,8950.3067352306,9.50940299458426,7.28421637368521,7.76403555419804,238616,37.539,0.393033409857206,554.920930232558,37.0876235961914,NA,NA,0.0204802379012108,0,0,0,NA,41.1
"BAR",1971,135.12037726483,NA,9252.11733546888,3.91272243606238,7.46925566353862,8.34395121954913,239864,37.755,0.521653080616483,557.823255813953,36.0683555603027,NA,NA,0.0140618355944753,0,0,NA,NA,39.2
"BAR",1972,142.975022301517,NA,9311.62376108783,1.27380067189249,11.8766562275328,9.33493362168801,241367,37.971,0.624650069134325,561.318604651163,34.8481788635254,NA,NA,0.015419477596879,0,0,NA,NA,37.2
"BAR",1973,132.227990264751,NA,9374.16887196647,1.34070042446109,16.8550818260213,10.9083443220283,242971,38.186,0.662349790455925,565.048837209302,33.5632629394531,NA,NA,0.030290836468339,0,0,NA,NA,35.3
